倉庫名,品番,月,数量
九州物流,B02030SG,2025-10-01,0.0
九州物流,B02030SG,2025-11-01,0.0
九州物流,B02030SG,2025-12-01,2.0
九州物流,B02030SG,2026-01-01,0.0
九州物流,B02030SG,2026-02-01,1.0
九州物流,B02030SG,2026-03-01,1.0
九州物流,B02040SC,2025-04-01,0.0
九州物流,B02040SC,2025-05-01,0.0
九州物流,B02040SC,2025-06-01,0.0
九州物流,B02040SC,2025-07-01,0.0
九州物流,B02040SC,2025-08-01,0.0
九州物流,B02040SC,2025-09-01,0.0
九州物流,B02040SC,2025-10-01,0.0
九州物流,B02040SC,2025-11-01,1.0
九州物流,B02040SC,2025-12-01,3.0
九州物流,B02040SC,2026-01-01,0.0
九州物流,B02040SC,2026-02-01,0.0
九州物流,B02040SC,2026-03-01,0.0
九州物流,B02040SG,2025-04-01,0.0
九州物流,B02040SG,2025-05-01,1.0
九州物流,B02040SG,2025-06-01,0.0
九州物流,B02040SG,2025-07-01,0.0
九州物流,B02040SG,2025-08-01,0.0
九州物流,B02040SG,2025-09-01,0.0
九州物流,B02040SG,2025-10-01,0.0
九州物流,B02040SG,2025-11-01,1.0
九州物流,B02040SG,2025-12-01,0.0
九州物流,B02040SG,2026-01-01,0.0
九州物流,B02040SG,2026-02-01,0.0
九州物流,B02040SG,2026-03-01,0.0
九州物流,B02050SC,2025-04-01,1.0
九州物流,B02050SC,2025-05-01,0.0
九州物流,B02050SC,2025-06-01,0.0
九州物流,B02050SC,2025-07-01,1.0
九州物流,B02050SC,2025-08-01,0.0
九州物流,B02050SC,2025-09-01,0.0
九州物流,B02050SC,2025-10-01,0.0
九州物流,B02050SC,2025-11-01,0.0
九州物流,B02050SC,2025-12-01,2.0
九州物流,B02050SC,2026-01-01,1.0
九州物流,B02050SC,2026-02-01,0.0
九州物流,B02050SC,2026-03-01,0.0
九州物流,B02050SG,2025-04-01,0.0
九州物流,B02050SG,2025-05-01,0.0
九州物流,B02050SG,2025-06-01,0.0
九州物流,B02050SG,2025-07-01,0.0
九州物流,B02050SG,2025-08-01,1.0
九州物流,B02050SG,2025-09-01,0.0
九州物流,B02050SG,2025-10-01,0.0
九州物流,B02050SG,2025-11-01,0.0
九州物流,B02050SG,2025-12-01,0.0
九州物流,B02050SG,2026-01-01,0.0
九州物流,B02050SG,2026-02-01,0.0
九州物流,B02050SG,2026-03-01,0.0
九州物流,B02060SG,2025-04-01,0.0
九州物流,B02060SG,2025-05-01,0.0
九州物流,B02060SG,2025-06-01,0.0
九州物流,B02060SG,2025-07-01,0.0
九州物流,B02060SG,2025-08-01,0.0
九州物流,B02060SG,2025-09-01,0.0
九州物流,B02060SG,2025-10-01,0.0
九州物流,B02060SG,2025-11-01,0.0
九州物流,B02060SG,2025-12-01,0.0
九州物流,B02060SG,2026-01-01,1.0
九州物流,B02060SG,2026-02-01,0.0
九州物流,B02060SG,2026-03-01,0.0
九州物流,BE0000SC,2025-04-01,22.0
九州物流,BE0000SC,2025-05-01,20.0
九州物流,BE0000SC,2025-06-01,78.0
九州物流,BE0000SC,2025-07-01,36.0
九州物流,BE0000SC,2025-08-01,73.0
九州物流,BE0000SC,2025-09-01,90.0
九州物流,BE0000SC,2025-10-01,68.0
九州物流,BE0000SC,2025-11-01,52.0
九州物流,BE0000SC,2025-12-01,60.0
九州物流,BE0000SC,2026-01-01,46.0
九州物流,BE0000SC,2026-02-01,47.0
九州物流,BE0000SC,2026-03-01,33.0
九州物流,BE0000SCW,2025-04-01,2.0
九州物流,BE0000SCW,2025-05-01,2.0
九州物流,BE0000SCW,2025-06-01,8.0
九州物流,BE0000SCW,2025-07-01,1.0
九州物流,BE0000SCW,2025-08-01,0.0
九州物流,BE0000SCW,2025-09-01,3.0
九州物流,BE0000SCW,2025-10-01,3.0
九州物流,BE0000SCW,2025-11-01,1.0
九州物流,BE0000SCW,2025-12-01,10.0
九州物流,BE0000SCW,2026-01-01,8.0
九州物流,BE0000SCW,2026-02-01,7.0
九州物流,BE0000SCW,2026-03-01,0.0
九州物流,BE0000SG,2025-04-01,30.0
九州物流,BE0000SG,2025-05-01,64.0
九州物流,BE0000SG,2025-06-01,34.0
九州物流,BE0000SG,2025-07-01,56.0
九州物流,BE0000SG,2025-08-01,29.0
九州物流,BE0000SG,2025-09-01,95.0
九州物流,BE0000SG,2025-10-01,99.0
九州物流,BE0000SG,2025-11-01,77.0
九州物流,BE0000SG,2025-12-01,37.0
九州物流,BE0000SG,2026-01-01,25.0
九州物流,BE0000SG,2026-02-01,58.0
九州物流,BE0000SG,2026-03-01,66.0
九州物流,BE0000SGA,2025-04-01,0.0
九州物流,BE0000SGA,2025-05-01,0.0
九州物流,BE0000SGA,2025-06-01,0.0
九州物流,BE0000SGA,2025-07-01,0.0
九州物流,BE0000SGA,2025-08-01,0.0
九州物流,BE0000SGA,2025-09-01,3.0
九州物流,BE0000SGA,2025-10-01,0.0
九州物流,BE0000SGA,2025-11-01,0.0
九州物流,BE0000SGA,2025-12-01,0.0
九州物流,BE0000SGA,2026-01-01,0.0
九州物流,BE0000SGA,2026-02-01,0.0
九州物流,BE0000SGA,2026-03-01,0.0
九州物流,BE0000SGW,2025-04-01,0.0
九州物流,BE0000SGW,2025-05-01,1.0
九州物流,BE0000SGW,2025-06-01,0.0
九州物流,BE0000SGW,2025-07-01,0.0
九州物流,BE0000SGW,2025-08-01,0.0
九州物流,BE0000SGW,2025-09-01,13.0
九州物流,BE0000SGW,2025-10-01,3.0
九州物流,BE0000SGW,2025-11-01,1.0
九州物流,BE0000SGW,2025-12-01,10.0
九州物流,BE0000SGW,2026-01-01,0.0
九州物流,BE0000SGW,2026-02-01,2.0
九州物流,BE0000SGW,2026-03-01,0.0
九州物流,BE0000SN,2025-04-01,0.0
九州物流,BE0000SN,2025-05-01,0.0
九州物流,BE0000SN,2025-06-01,0.0
九州物流,BE0000SN,2025-07-01,0.0
九州物流,BE0000SN,2025-08-01,0.0
九州物流,BE0000SN,2025-09-01,0.0
九州物流,BE0000SN,2025-10-01,0.0
九州物流,BE0000SN,2025-11-01,0.0
九州物流,BE0000SN,2025-12-01,0.0
九州物流,BE0000SN,2026-01-01,4.0
九州物流,BE0000SN,2026-02-01,0.0
九州物流,BE0000SN,2026-03-01,0.0
九州物流,BE0000WC,2025-04-01,0.0
九州物流,BE0000WC,2025-05-01,0.0
九州物流,BE0000WC,2025-06-01,0.0
九州物流,BE0000WC,2025-07-01,0.0
九州物流,BE0000WC,2025-08-01,0.0
九州物流,BE0000WC,2025-09-01,2.0
九州物流,BE0000WC,2025-10-01,0.0
九州物流,BE0000WC,2025-11-01,0.0
九州物流,BE0000WC,2025-12-01,0.0
九州物流,BE0000WC,2026-01-01,0.0
九州物流,BE0000WC,2026-02-01,1.0
九州物流,BE0000WC,2026-03-01,0.0
九州物流,BE0000WG,2025-04-01,0.0
九州物流,BE0000WG,2025-05-01,12.0
九州物流,BE0000WG,2025-06-01,0.0
九州物流,BE0000WG,2025-07-01,0.0
九州物流,BE0000WG,2025-08-01,0.0
九州物流,BE0000WG,2025-09-01,1.0
九州物流,BE0000WG,2025-10-01,0.0
九州物流,BE0000WG,2025-11-01,0.0
九州物流,BE0000WG,2025-12-01,0.0
